codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-2111-0953,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40°,700NI,CHILE GLOBAL,2
4-03-2111-0841,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,CHILE GLOBAL,2
4-03-2391-0654,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-1276,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-1292,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 35° NP,750NI,ECUADOR CRONOCAMPUS,2
4-03-2111-0965,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° ESTUCHE,700NI,CHILE GLOBAL,SEMI
4-03-2111-1249,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,CHILE GLOBAL,2
4-03-2391-0655,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-0656,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ECUADOR CRONOCAMPUS,4
4-03-2391-1310,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS,750NI,ECUADOR CRONOCAMPUS,SEMI
4-03-2111-0982,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,CHILE SURTIVENTAS,SEMI
4-03-2111-1023,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,CHILE GLOBAL,1
4-03-2111-1049,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,CHILE GLOBAL,1
4-03-2391-0701,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,ECUADOR CRONOCAMPUS,3
4-03-2391-0703,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ECUADOR CRONOCAMPUS,4
4-03-0000-1027,SEMITERMINADO RON VIEJO DE CALDAS ROBLE BLANCO 700 VID 40°,700NI,UNI EXP,2
4-03-0000-1028,SEMITERMINADO RON VIEJO DE CALDAS ROBLE BLANCO 750 VID 40°,750NI,UNI EXP,1
4-03-2452-1037,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2452-1038,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2453-1282,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2453-1281,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,ESPAÑA,2
4-03-2453-1283,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,ESPAÑA,4
4-03-2453-1284,RON VIEJO CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40° NP,700CV-15,ESPAÑA,4
4-01-2453-1287,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,ESPAÑA,2
4-03-2453-1309,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° EST+2 VASOS,700NI,ESPAÑA,2
